"id","concept_id","concept_name","concept_code","survey_name","survey_concept_id","count_value","sub","path","is_parent_question","generate_counts","order_number","question_string","type","showup_date","parent_question_concept_id","parent_answer_concept_id"
4000,1703874,"During the past 6 months How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?","asrs_1","Behavioral Health and Personality",1703870,0,0,1703874,1,1,1,"","QUESTION","2024-02-21",1703874,1703874
4001,1703914,"During the past 6 months How often do you have difficulty getting things in order when you have to do a task that requires organization?","asrs_2","Behavioral Health and Personality",1703870,0,0,1703914,1,1,2,"","QUESTION","2024-02-21",1703914,1703914
4002,1703878,"During the past 6 months How often do you have problems remembering appointments or obligations?","asrs_3","Behavioral Health and Personality",1703870,0,0,1703878,1,1,3,"","QUESTION","2024-02-21",1703878,1703878
4003,1703916,"During the past 6 months When you have a task that requires a lot of thought, how often do you avoid or delay getting started?","asrs_4","Behavioral Health and Personality",1703870,0,0,1703916,1,1,4,"","QUESTION","2024-02-21",1703916,1703916
4004,1703913,"During the past 6 months How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?","asrs_5","Behavioral Health and Personality",1703870,0,0,1703913,1,1,5,"","QUESTION","2024-02-21",1703913,1703913
4005,1703925,"During the past 6 months How often do you feel overly active and compelled to do things, like you were driven by a motor?","asrs_6","Behavioral Health and Personality",1703870,0,0,1703925,1,1,6,"","QUESTION","2024-02-21",1703925,1703925
4006,1703923,"Have you ever had a period of time when you were feeling so good, high, excited, or hyper that other people thought you were not your normal self or you were so hyper that you got into trouble?","mhqukb_43","Behavioral Health and Personality",1703870,0,0,1703923,1,1,7,"","QUESTION","2024-02-21",1703923,1703923
4007,1703906,"Please try to remember a period when you were in a high or irritable state and select all of the following that apply:","mhqukb_45","Behavioral Health and Personality",1703870,0,1,"1703923.1703969.1703906",0,1,7,"","QUESTION","2024-02-21",1703923,1703969
4008,1703879,"What is the longest time that these high or irritable periods have lasted?","mhqukb_46","Behavioral Health and Personality",1703870,0,1,"1703923.1703969.1703879",0,1,7,"","QUESTION","2024-02-21",1703923,1703969
4009,1703894,"How much of a problem have these high or irritable periods caused you?","mhqukb_47","Behavioral Health and Personality",1703870,0,1,"1703923.1703969.1703894",0,1,7,"","QUESTION","2024-02-21",1703923,1703969
4010,1703928,"Have you ever had a period of time when you were so irritable that you found yourself shouting at people or starting fights or arguments?","mhqukb_44","Behavioral Health and Personality",1703870,0,0,1703928,1,1,8,"","QUESTION","2024-02-21",1703928,1703928
4011,1703906,"Please try to remember a period when you were in a high or irritable state and select all of the following that apply:","mhqukb_45","Behavioral Health and Personality",1703870,0,1,"1703928.1703969.1703906",0,1,8,"","QUESTION","2024-02-21",1703928,1703969
4012,1703879,"What is the longest time that these high or irritable periods have lasted?","mhqukb_46","Behavioral Health and Personality",1703870,0,1,"1703928.1703969.1703879",0,1,8,"","QUESTION","2024-02-21",1703928,1703969
4013,1703894,"How much of a problem have these high or irritable periods caused you?","mhqukb_47","Behavioral Health and Personality",1703870,0,1,"1703928.1703969.1703894",0,1,8,"","QUESTION","2024-02-21",1703928,1703969
4014,1703885,"Did you ever see something that wasn't really there that other people could not see? Please do not include any times when you were dreaming or half-asleep or under the influence of alcohol or drugs.","mhqukb_49","Behavioral Health and Personality",1703870,0,0,1703885,1,1,9,"","QUESTION","2024-02-21",1703885,1703885
4015,1703890,"How distressing did you find having any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_54","Behavioral Health and Personality",1703870,0,1,"1703885.1703969.1703890",0,1,9,"","QUESTION","2024-02-21",1703885,1703969
4016,1703882,"Did you ever talk to a doctor, counselor, psychiatrist or other health professional about any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_55","Behavioral Health and Personality",1703870,0,1,"1703885.1703969.1703882",0,1,9,"","QUESTION","2024-02-21",1703885,1703969
4017,1703921,"Were you ever prescribed a medication by a health professional for any of these experiences (such as seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_56","Behavioral Health and Personality",1703870,0,1,"1703885.1703969.1703921",0,1,9,"","QUESTION","2024-02-21",1703885,1703969
4018,1703901,"Did you ever hear voices that other people did not hear like voices coming from inside your head talking to you or about you, or voices coming out of the air when there was no one around?","cidi5_21","Behavioral Health and Personality",1703870,0,0,1703901,1,1,10,"","QUESTION","2024-02-21",1703901,1703901
4019,1703890,"How distressing did you find having any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_54","Behavioral Health and Personality",1703870,0,1,"1703901.1703969.1703890",0,1,10,"","QUESTION","2024-02-21",1703901,1703969
4020,1703882,"Did you ever talk to a doctor, counselor, psychiatrist or other health professional about any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_55","Behavioral Health and Personality",1703870,0,1,"1703901.1703969.1703882",0,1,10,"","QUESTION","2024-02-21",1703901,1703969
4021,1703921,"Were you ever prescribed a medication by a health professional for any of these experiences (such as seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_56","Behavioral Health and Personality",1703870,0,1,"1703901.1703969.1703921",0,1,10,"","QUESTION","2024-02-21",1703901,1703969
4022,1703915,"Did you ever think some force was trying to communicate directly with you by sending special signs or signals, like through the radio or television, that you could understand but that no one else could understand?","cidi5_22","Behavioral Health and Personality",1703870,0,0,1703915,1,1,11,"","QUESTION","2024-02-21",1703915,1703915
4023,1703890,"How distressing did you find having any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_54","Behavioral Health and Personality",1703870,0,1,"1703915.1703969.1703890",0,1,11,"","QUESTION","2024-02-21",1703915,1703969
4024,1703882,"Did you ever talk to a doctor, counselor, psychiatrist or other health professional about any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_55","Behavioral Health and Personality",1703870,0,1,"1703915.1703969.1703882",0,1,11,"","QUESTION","2024-02-21",1703915,1703969
4025,1703921,"Were you ever prescribed a medication by a health professional for any of these experiences (such as seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_56","Behavioral Health and Personality",1703870,0,1,"1703915.1703969.1703921",0,1,11,"","QUESTION","2024-02-21",1703915,1703969
4026,1703871,"Did you ever believe there was a plot to harm you or to have people follow you, but your friends or family did not think this was true?","cidi5_23","Behavioral Health and Personality",1703870,0,0,1703871,1,1,12,"","QUESTION","2024-02-21",1703871,1703871
4027,1703890,"How distressing did you find having any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_54","Behavioral Health and Personality",1703870,0,1,"1703871.1703969.1703890",0,1,12,"","QUESTION","2024-02-21",1703871,1703969
4028,1703882,"Did you ever talk to a doctor, counselor, psychiatrist or other health professional about any of these experiences (such as seeing a vision, hearing a voice, believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_55","Behavioral Health and Personality",1703870,0,1,"1703871.1703969.1703882",0,1,12,"","QUESTION","2024-02-21",1703871,1703969
4029,1703921,"Were you ever prescribed a medication by a health professional for any of these experiences (such as seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?","mhqukb_56","Behavioral Health and Personality",1703870,0,1,"1703871.1703969.1703921",0,1,12,"","QUESTION","2024-02-21",1703871,1703969
4030,1703900,"With this definition in mind, did you ever in your life have a panic attack?","cidi5_16","Behavioral Health and Personality",1703870,0,0,1703900,1,1,13,"","QUESTION","2024-02-21",1703900,1703900
4031,1703927,"Have any of these panic attacks occurred out of the blue for no apparent reason?","cidi5_17","Behavioral Health and Personality",1703870,0,1,"1703900.1703969.1703927",0,1,13,"","QUESTION","2024-02-21",1703900,1703969
4032,1703922,"After these attacks started, did you worry a lot about having another attack or do anything differently to avoid having another attack?","cidi5_18","Behavioral Health and Personality",1703870,0,1,"1703900.1703969.1703922",0,1,13,"","QUESTION","2024-02-21",1703900,1703969
4033,1703899,"About how many panic attacks have you ever had in your life?","cidi5_19","Behavioral Health and Personality",1703870,0,1,"1703900.1703969.1703899",0,1,13,"","QUESTION","2024-02-21",1703900,1703969
4034,1703895,"Have you ever been bothered with thoughts, images, or urges that kept coming back over and over, even when you didn't want them to, like concerns with germs, order, or experiencing horrific images or intrusive sexual thoughts, or urges to knock or touch objects, or harming a loved one?","pmi_1","Behavioral Health and Personality",1703870,0,0,1703895,1,1,14,"","QUESTION","2024-02-21",1703895,1703895
4035,1703910,"Was there ever anything that you had to do over and over again and was hard to resist doing, like hand washing, checking the stove, or repeating something over and over a certain number of times or until it feels just right?","pmi_2","Behavioral Health and Personality",1703870,0,0,1703910,1,1,15,"","QUESTION","2024-02-21",1703910,1703910
4036,1703889,"Have you ever been unable to stop picking at your skin?","cidi5_25","Behavioral Health and Personality",1703870,0,0,1703889,1,1,16,"","QUESTION","2024-02-21",1703889,1703889
4037,1703902,"Have you ever been unable to stop pulling out your hair, eyebrows or eyelashes?","cidi5_26","Behavioral Health and Personality",1703870,0,0,1703902,1,1,17,"","QUESTION","2024-02-21",1703902,1703902
4038,1703917,"Were you ever in your life so painfully shy or scared of social situations (like attending a party, speaking to strangers, eating in public) that you avoided social situations whenever you could?","cidi5_27","Behavioral Health and Personality",1703870,0,0,1703917,1,1,18,"","QUESTION","2024-02-21",1703917,1703917
4039,1703897,"Did this ever last for more than 6 months?","cidi5_29","Behavioral Health and Personality",1703870,0,1,"1703917.1703969.1703897",0,1,18,"","QUESTION","2024-02-21",1703917,1703969
4040,1703891,"Do you worry more than most people about being embarrassed, looking stupid, or being judged by other people?","pmi_3","Behavioral Health and Personality",1703870,0,0,1703891,1,1,19,"","QUESTION","2024-02-21",1703891,1703891
4041,1703897,"Did this ever last for more than 6 months?","cidi5_29","Behavioral Health and Personality",1703870,0,1,"1703891.1703969.1703897",0,1,19,"","QUESTION","2024-02-21",1703891,1703969
4042,1703886,"Some people have a lot of fear or anxiety about things like going out of the house alone, being in a crowd, standing in lines, going over bridges, or traveling by bus, train or car. Were you ever in your life so frightened by any of these situations that it got in the way of you having a normal life?","cidi5_30","Behavioral Health and Personality",1703870,0,0,1703886,1,1,20,"","QUESTION","2024-02-21",1703886,1703886
4043,1703872,"Did these feelings of fear or anxiety in situations like these ever last for more than 6 months?","cidi5_32","Behavioral Health and Personality",1703870,0,1,"1703886.1703969.1703872",0,1,20,"","QUESTION","2024-02-21",1703886,1703969
4044,1703926,"I am someone who tends to be quiet.","bfi2xs_1","Behavioral Health and Personality",1703870,0,0,1703926,1,1,21,"","QUESTION","2024-02-21",1703926,1703926
4045,1703904,"I am someone who is compassionate, has a soft heart.","bfi2xs_2","Behavioral Health and Personality",1703870,0,0,1703904,1,1,22,"","QUESTION","2024-02-21",1703904,1703904
4046,1703892,"I am someone who tends to be disorganized.","bfi2xs_3","Behavioral Health and Personality",1703870,0,0,1703892,1,1,23,"","QUESTION","2024-02-21",1703892,1703892
4047,1703893,"I am someone who worries a lot.","bfi2xs_4","Behavioral Health and Personality",1703870,0,0,1703893,1,1,24,"","QUESTION","2024-02-21",1703893,1703893
4048,1703930,"I am someone who is fascinated by art, music, or literature.","bfi2xs_5","Behavioral Health and Personality",1703870,0,0,1703930,1,1,25,"","QUESTION","2024-02-21",1703930,1703930
4049,1703918,"I am someone who is dominant, acts as a leader.","bfi2xs_6","Behavioral Health and Personality",1703870,0,0,1703918,1,1,26,"","QUESTION","2024-02-21",1703918,1703918
4050,1703911,"I am someone who is sometimes rude to others.","bfi2xs_7","Behavioral Health and Personality",1703870,0,0,1703911,1,1,27,"","QUESTION","2024-02-21",1703911,1703911
4051,1703875,"I am someone who has difficulty getting started on tasks.","bfi2xs_8","Behavioral Health and Personality",1703870,0,0,1703875,1,1,28,"","QUESTION","2024-02-21",1703875,1703875
4052,1703929,"I am someone who tends to feel depressed, blue.","bfi2xs_9","Behavioral Health and Personality",1703870,0,0,1703929,1,1,29,"","QUESTION","2024-02-21",1703929,1703929
4053,1703919,"I am someone who has little interest in abstract ideas.","bfi2xs_10","Behavioral Health and Personality",1703870,0,0,1703919,1,1,30,"","QUESTION","2024-02-21",1703919,1703919
4054,1703903,"I am someone who is full of energy.","bfi2xs_11","Behavioral Health and Personality",1703870,0,0,1703903,1,1,31,"","QUESTION","2024-02-21",1703903,1703903
4055,1703932,"I am someone who assumes the best about people.","bfi2xs_12","Behavioral Health and Personality",1703870,0,0,1703932,1,1,32,"","QUESTION","2024-02-21",1703932,1703932
4056,1703912,"I am someone who is reliable, can always be counted on.","bfi2xs_13","Behavioral Health and Personality",1703870,0,0,1703912,1,1,33,"","QUESTION","2024-02-21",1703912,1703912
4057,1703896,"I am someone who is emotionally stable, not easily upset.","bfi2xs_14","Behavioral Health and Personality",1703870,0,0,1703896,1,1,34,"","QUESTION","2024-02-21",1703896,1703896
4058,1703881,"I am someone who is original, comes up with new ideas.","bfi2xs_15","Behavioral Health and Personality",1703870,0,0,1703881,1,1,35,"","QUESTION","2024-02-21",1703881,1703881