id,survey_concept_id,question_concept_id,survey_order_number,question_order_number,"path",sub,question_text
330,43529712,43530496,4,9,"43528759.43528699.43530496",1,"About how old were you when you were first told you had
331,43529712,43528824,4,9,"43528759.43528699.43528824",1,"Are you currently prescribed medications and/or receiving treatment for
332,43529712,43530343,4,9,"43528759.43529265.43530343",1,"Are you still seeing a doctor or health care provider for
333,43529712,43530500,4,9,"43528759.43529265.43530500",1,"About how old were you when you were first told you had
334,43529712,43528828,4,9,"43528759.43529265.43528828",1,"Are you currently prescribed medications and/or receiving treatment for
335,43529712,1384570,4,9,"43528759.1384648.1384570",1,"Are you still seeing a doctor or health care provider for
336,43529712,1384554,4,9,"43528759.1384648.1384554",1,"About how old were you when you were first told you had
337,43529712,1384388,4,9,"43528759.1384648.1384388",1,"Are you currently prescribed medications and/or receiving treatment for
338,43529712,43530340,4,9,"43528759.43528731.43530340",1,"Are you still seeing a doctor or health care provider for
339,43529712,43530497,4,9,"43528759.43528731.43530497",1,"About how old were you when you were first told you had
340,43529712,43528825,4,9,"43528759.43528731.43528825",1,"Are you currently prescribed medications and/or receiving treatment for
341,43529712,43530342,4,9,"43528759.43529196.43530342",1,"Are you still seeing a doctor or health care provider for
342,43529712,43530499,4,9,"43528759.43529196.43530499",1,"About how old were you when you were first told you had
343,43529712,43528827,4,9,"43528759.43529196.43528827",1,"Are you currently prescribed medications and/or receiving treatment for
344,43529712,43530344,4,9,"43528759.43529917.43530344",1,
345,43529712,43530501,4,9,"43528759.43529917.43530501",1,
346,43529712,43528829,4,9,"43528759.43529917.43528829",1,
347,43529712,43530341,4,9,"43528759.1384396.43530341",1,
348,43529712,43530498,4,9,"43528759.1384396.43530498",1,
349,43529712,43528826,4,9,"43528759.1384396.43528826",1,
350,43529712,1384556,4,9,"43528759.1384428.1384556",1,
351,43529712,1384667,4,9,"43528759.1384428.1384667",1,
352,43529712,1384663,4,9,"43528759.1384428.1384663",1,
353,43529712,1384662,4,10,"1384662",1,
354,43529712,1384553,4,10,"1384662.1384578.1384553",1,
355,43529712,1384637,4,10,"1384662.1384578.1384637",1,
356,43529712,1384442,4,10,"1384662.1384578.1384442",1,
357,43529712,43530345,4,10,"1384662.1384659.43530345",1,
358,43529712,43530502,4,10,"1384662.1384659.43530502",1,
359,43529712,43528830,4,10,"1384662.1384659.43528830",1,
360,43529712,1384418,4,10,"1384662.1384454.1384418",1,
361,43529712,1384552,4,10,"1384662.1384454.1384552",1,
362,43529712,1384627,4,10,"1384662.1384454.1384627",1,
363,43529712,1384401,4,10,"1384662.1384581.1384401",1,
364,43529712,1384619,4,10,"1384662.1384581.1384619",1,
365,43529712,1384535,4,10,"1384662.1384581.1384535",1,
366,43529712,1384506,4,10,"1384662.1384429.1384506",1,
367,43529712,1384620,4,10,"1384662.1384429.1384620",1,
368,43529712,1384447,4,10,"1384662.1384429.1384447",1,
369,43529712,43530346,4,10,"1384662.1384588.43530346",1,
370,43529712,43530503,4,10,"1384662.1384588.43530503",1,
371,43529712,43528831,4,10,"1384662.1384588.43528831",1,
372,43529712,43530347,4,10,"1384662.1384391.43530347",1,
373,43529712,43530505,4,10,"1384662.1384391.43530505",1,
374,43529712,43528832,4,10,"1384662.1384391.43528832",1,
375,43529712,1384431,4,10,"1384662.1384449.1384431",1,
376,43529712,1384432,4,10,"1384662.1384449.1384432",1,
377,43529712,1384628,4,10,"1384662.1384449.1384628",1,
378,43529712,43530349,4,10,"1384662.1384614.43530349",1,
379,43529712,43530507,4,10,"1384662.1384614.43530507",1,
380,43529712,43528834,4,10,"1384662.1384614.43528834",1,
381,43529712,1384465,4,10,"1384662.1384520.1384465",1,
382,43529712,1384621,4,10,"1384662.1384520.1384621",1,
383,43529712,1384398,4,10,"1384662.1384520.1384398",1,
384,43529712,1384537,4,10,"1384662.1384406.1384537",1,
385,43529712,1384438,4,10,"1384662.1384406.1384438",1,
386,43529712,1384642,4,10,"1384662.1384406.1384642",1,
387,43529712,1384463,4,10,"1384662.1384453.1384463",1,
388,43529712,1384573,4,10,"1384662.1384453.1384573",1,
389,43529712,1384664,4,10,"1384662.1384453.1384664",1,
390,43529712,1384511,4,10,"1384662.1384610.1384511",1,
391,43529712,1384416,4,10,"1384662.1384610.1384416",1,
392,43529712,1384505,4,10,"1384662.1384610.1384505",1,
393,43529712,43530348,4,10,"1384662.1384555.43530348",1,
394,43529712,43530506,4,10,"1384662.1384555.43530506",1,
395,43529712,43528833,4,10,"1384662.1384555.43528833",1,
396,43529712,1384596,4,10,"1384662.1384408.1384596",1,
397,43529712,1384652,4,10,"1384662.1384408.1384652",1,
398,43529712,1384602,4,10,"1384662.1384408.1384602",1,
399,43529712,1384459,4,10,"1384662.1384527.1384459",1,
400,43529712,1384492,4,10,"1384662.1384527.1384492",1,
401,43529712,1384424,4,10,"1384662.1384527.1384424",1,
402,43529712,1384489,4,10,"1384662.1384484.1384489",1,
403,43529712,1384647,4,10,"1384662.1384484.1384647",1,
404,43529712,1384517,4,10,"1384662.1384484.1384517",1,
405,43529712,1384526,4,11,"1384526",0,
406,43529712,1384597,4,11,"1384526.1384415.1384597",1
407,43529712,1384426,4,11,"1384526.1384415.1384426",1
408,43529712,1384482,4,11,"1384526.1384415.1384482",1
409,43529712,43530365,4,11,"1384526.1384585.43530365",1
410,43529712,43530523,4,11,"1384526.1384585.43530523",1
411,43529712,43528850,4,11,"1384526.1384585.43528850",1
412,43529712,43530366,4,11,"1384526.1384402.43530366",1
413,43529712,43530524,4,11,"1384526.1384402.43530524",1
414,43529712,43528851,4,11,"1384526.1384402.43528851",1
415,43529712,43530367,4,11,"1384526.1384435.43530367",1
416,43529712,43530525,4,11,"1384526.1384435.43530525",1
417,43529712,43528852,4,11,"1384526.1384435.43528852",1
418,43529712,43530368,4,11,"1384526.1384524.43530368",1
419,43529712,43530526,4,11,"1384526.1384524.43530526",1
420,43529712,43528853,4,11,"1384526.1384524.43528853",1
421,43529712,43530369,4,11,"1384526.1384444.43530369",1
422,43529712,43530527,4,11,"1384526.1384444.43530527",1
423,43529712,43528854,4,11,"1384526.1384444.43528854",1
424,43529712,1384633,4,11,"1384526.1384607.1384633",1
425,43529712,1384670,4,11,"1384526.1384607.1384670",1
426,43529712,1384451,4,11,"1384526.1384607.1384451",1
427,43529712,43530370,4,11,"1384526.1384531.43530370",1
428,43529712,43530528,4,11,"1384526.1384531.43530528",1
429,43529712,43528855,4,11,"1384526.1384531.43528855",1
430,43529712,43530371,4,11,"1384526.1384427.43530371",1
431,43529712,43530529,4,11,"1384526.1384427.43530529",1
432,43529712,43528856,4,11,"1384526.1384427.43528856",1
433,43529712,43530372,4,11,"1384526.1384591.43530372",1
434,43529712,43530530,4,11,"1384526.1384591.43530530",1
435,43529712,43528857,4,11,"1384526.1384591.43528857",1
436,43529712,43530373,4,11,"1384526.1384503.43530373",1
437,43529712,43530531,4,11,"1384526.1384503.43530531",1
438,43529712,43528858,4,11,"1384526.1384503.43528858",1
439,43529712,43530374,4,11,"1384526.1384650.43530374",1
440,43529712,43530532,4,11,"1384526.1384650.43530532",1
441,43529712,43528859,4,11,"1384526.1384650.43528859",1
442,43529712,43530375,4,11,"1384526.1384599.43530375",1
443,43529712,43530533,4,11,"1384526.1384599.43530533",1
444,43529712,43528860,4,11,"1384526.1384599.43528860",1
445,43529712,43530377,4,11,"1384526.1384568.43530377",1
446,43529712,43530536,4,11,"1384526.1384568.43530536",1
447,43529712,43528862,4,11,"1384526.1384568.43528862",1
448,43529712,43530378,4,11,"1384526.1384616.43530378",1
449,43529712,43530537,4,11,"1384526.1384616.43530537",1
450,43529712,43528863,4,11,"1384526.1384616.43528863",1
451,43529712,43530379,4,11,"1384526.1384577.43530379",1
452,43529712,1384655,4,11,"1384526.1384577.1384655",1
453,43529712,43528864,4,11,"1384526.1384577.43528864",1
454,43529712,43530380,4,11,"1384526.1384496.43530380",1
455,43529712,43530538,4,11,"1384526.1384496.43530538",1
456,43529712,43528865,4,11,"1384526.1384496.43528865",1
457,43529712,1384560,4,11,"1384526.1384582.1384560",1
458,43529712,1384456,4,11,"1384526.1384582.1384456",1
459,43529712,1384528,4,11,"1384526.1384582.1384528",1
460,43529712,1384495,4,12,"1384495",0
461,43529712,1384490,4,12,"1384495.1384600.1384490",1
462,43529712,1384625,4,12,"1384495.1384600.1384625",1
463,43529712,1384518,4,12,"1384495.1384600.1384625",1
464,43529712,43530356,4,12,"1384495.1384475.43530356",1
465,43529712,43530514,4,12,"1384495.1384475.43530514",1
466,43529712,43528841,4,12,"1384495.1384475.43528841",1
467,43529712,43530354,4,12,"1384495.1384510.43530354",1
468,43529712,43530512,4,12,"1384495.1384510.43530512",1
469,43529712,43528839,4,12,"1384495.1384510.43528839",1
470,43529712,1384630,4,12,"1384495.1384458.1384630",1
471,43529712,1384574,4,12,"1384495.1384458.1384574",1
472,43529712,1384486,4,12,"1384495.1384458.1384486",1
473,43529712,43530357,4,12,"1384495.1384669.43530357",1
474,43529712,43530515,4,12,"1384495.1384669.43530515",1
475,43529712,43528842,4,12,"1384495.1384669.43528842",1
476,43529712,43530358,4,12,"1384495.1384656.43530358",1
477,43529712,43530516,4,12,"1384495.1384656.43530516",1
478,43529712,43528843,4,12,"1384495.1384656.43528843",1
479,43529712,1384480,4,12,"1384495.1384413.1384480",1
480,43529712,1384514,4,12,"1384495.1384413.1384514",1
481,43529712,1384601,4,12,"1384495.1384413.1384601",1
482,43529712,43530359,4,12,"1384495.1384558.43530359",1
483,43529712,43530517,4,12,"1384495.1384558.43530517",1
484,43529712,43528844,4,12,"1384495.1384558.43528844",1
485,43529712,43530360,4,12,"1384495.1384622.43530360",1
486,43529712,43530518,4,12,"1384495.1384622.43530518",1
487,43529712,43528845,4,12,"1384495.1384622.43528845",1
488,43529712,43530361,4,12,"1384495.1384443.43530361",1
489,43529712,43530519,4,12,"1384495.1384443.43530519",1
490,43529712,43528846,4,12,"1384495.1384443.43528846",1
491,43529712,43530362,4,12,"1384495.1384557.43530362",1
492,43529712,43530520,4,12,"1384495.1384557.43530520",1
493,43529712,43528847,4,12,"1384495.1384557.43528847",1
494,43529712,43530363,4,12,"1384495.1384464.43530363",1
495,43529712,43530521,4,12,"1384495.1384464.43530521",1
496,43529712,43528848,4,12,"1384495.1384464.43528848",1
497,43529712,1384539,4,12,"1384495.1384549.1384539",1
498,43529712,1384425,4,12,"1384495.1384549.1384425",1
499,43529712,1384584,4,12,"1384495.1384549.1384584",1
500,43529712,1384430,4,13,"1384430",0
501,43529712,43530381,4,13,"1384430.43528355.43530381",1
502,43529712,43530539,4,13,"1384430.43528355.43530539",1
503,43529712,43528866,4,13,"1384430.43528355.43528866",1
504,43529712,43530382,4,13,"1384430.43528377.43530382",1
505,43529712,43530540,4,13,"1384430.43528377.43530540",1
506,43529712,43528867,4,13,"1384430.43528377.43528867",1
507,43529712,1384474,4,13,"1384430.1385329.1384474",1
508,43529712,1384636,4,13,"1384430.1385329.1384636",1
509,43529712,1384624,4,13,"1384430.1385329.1384624",1
510,43529712,43530383,4,13,"1384430.43528684.43530383",1
511,43529712,43530541,4,13,"1384430.43528684.43530541",1
512,43529712,43528868,4,13,"1384430.43528684.43528868",1
513,43529712,1384605,4,13,"1384430.1384407.1384605",1
514,43529712,1384542,4,13,"1384430.1384407.1384542",1
515,43529712,1384668,4,13,"1384430.1384407.1384668",1
516,43529712,43530384,4,13,"1384430.43529594.43530384",1
517,43529712,43530542,4,13,"1384430.43529594.43530542",1
518,43529712,43528869,4,13,"1384430.43529594.43528869",1
519,43529712,1384501,4,13,"1384430.1384618.1384501",1
520,43529712,1384509,4,13,"1384430.1384618.1384509",1
521,43529712,1384507,4,13,"1384430.1384618.1384507",1
522,43529712,1384530,4,13,"1384430.1384392.1384530",1
523,43529712,1384569,4,13,"1384430.1384392.1384569",1
524,43529712,1384572,4,13,"1384430.1384392.1384572",1
525,43529712,43530385,4,13,"1384430.43529831.43530385",1
526,43529712,43530543,4,13,"1384430.43529831.43530543",1
527,43529712,43528870,4,13,"1384430.43529831.43528870",1
528,43529712,43530386,4,13,"1384430.43529967.43530386",1
529,43529712,43530544,4,13,"1384430.43529967.43530544",1
530,43529712,43528871,4,13,"1384430.43529967.43528871",1
531,43529712,43530387,4,13,"1384430.43529968.43530387",1
532,43529712,43530545,4,13,"1384430.43529968.43530545",1
533,43529712,43528872,4,13,"1384430.43529968.43528872",1
534,43529712,1384409,4,13,"1384430.1384631.1384409",1
535,43529712,1384394,4,13,"1384430.1384631.1384394",1
534,43529712,1384589,4,13,"1384430.1384631.1384589",1
536,43528895,43530418,5,1,"43530418",0
537,43528895,43530559,5,2,"43530559",0
538,43528895,43530562,5,3,"43530562",0
540,43528895,43530593,5,4,"43530593",0
541,43528895,43530595,5,5,"43530595",0
542,43528895,43528660,5,6,"43528660",0
543,43528895,43530588,5,6,"43528660.43530243.43530588",1
544,43528895,43530404,5,7,"43530404",0
545,43528895,43529973,5,7,"43530404.43530246.43529973",1
546,43528895,43530401,5,8,"43530401",0
547,43528895,43529975,5,8,"43530401.43530247.43529975",1
548,43528895,43530402,5,9,"43530402",0
549,43528895,43529977,5,9,"43530402.43530245.43529977",1
550,43528895,43530403,5,10,"43530403",0
551,43528895,43530591,5,10,"43530403.43530242.43530591",1
552,43528895,43530406,5,11,"43530406",0
553,43528895,43530590,5,11,"43530406.43530249.43530590",1
554,43528895,43530399,5,12,"43530399",0
555,43528895,43530589,5,12,"43530399.43530240.43530589",1
556,43528895,43530405,5,13,"43530405",0
557,43528895,43530592,5,13,"43530405.43530249.43530592",1
558,43528895,43530400,5,14,"43530400",0
559,43528895,43529974,5,14,"43530400.43530241.43529974",1
560,43528895,43528661,5,15,"43528661",0
561,43528895,43529976,5,15,"43528661.43530244.43529976",1
562,43528895,43530407,5,16,"43530407",0
563,43528895,43529978,5,16,"43530407.43530250.43529978",1
564,43528895,43530439,5,17,"43530439",0
565,43528895,43530437,5,18,"43530437",0
566,43528895,43530438,5,19,"43530438",0
567,43528895,43529906,5,20,"43529906",0
568,43528895,43530268,5,21,"43530268",0
569,43528895,43530594,5,22,"43530594",0
570,43528895,43529905,5,23,"43529905",0
571,43528895,43529903,5,24,"43529903",0
572,43528895,43529904,5,25,"43529904",0
573,43528895,43530583,5,26,"43530583",0
574,43528895,43530585,5,27,"43530585",0
575,43528895,43530584,5,28,"43530584",0
576,43528895,43530411,5,29,"43530411",0
577,43528895,43530410,5,30,"43530410",0
578,43528895,43528663,5,31,"43528663",0
579,43528895,43528662,5,32,"43528662",0
580,43528895,43530408,5,33,"43530408",0
581,43528895,43528664,5,34,"43528664",0
582,43528895,43530412,5,35,"43530412",0
583,43528995,43530409,5,36,"43530409",0
584,43528895,43530409,5,36,"43530409",0
585,43528895,43530557,5,37,"43530557",0
586,43528895,43530416,5,38,"43530416",0
587,43528895,43530417,5,39,"43530417",0
588,43528895,43530415,5,40,"43530415",0
589,43528895,43530413,5,41,"43530413",0
590,43528895,43528665,5,42,"43528665",0
591,43528895,43528666,5,43,"43528666",0
592,43528895,43529901,5,44,"43529901",0
593,43528895,43529902,5,45,"43529902",0
594,43528895,43529899,5,46,"43529899",0
595,43528698,43528652,6,1,"43528652",0
596,43528698,43528512,6,1,"43528652.43528385.43528512",1
597,43528698,43528512,6,1,"43528652.43529842.43528512",1
598,43528698,43528917,6,1,"43528652.43528385.43528917",1
599,43528698,43528917,6,1,"43528652.43529842.43528917",1
600,43528698,43528631,6,1,"43528652.43528385.43528631",1
601,43528698,43528631,6,1,"43528652.43529842.43528631",1
602,43528698,43528944,6,1,"43528652.43528385.43528944",1
603,43528698,43528944,6,1,"43528652.43529842.43528944",1
604,43528698,43529155,6,1,"43528652.43528385.43529155",1
605,43528698,43529155,6,1,"43528652.43529842.43529155",1
606,43528698,43529191,6,1,"43528652.43528385.43529191",1
607,43528698,43529191,6,1,"43528652.43529842.43529191",1
608,43528698,43528490,6,1,"43528652.43529842.43528490",1
609,43528698,43528490,6,1,"43528652.43529842.43528490",1
610,43528698,43530563,6,1,"43528652.43528385.43530563",1
611,43528698,43530563,6,1,"43528652.43529842.43530563",1
612,43528698,43528487,6,1,"43528652.43528385.43528487",1
613,43528698,43528487,6,1,"43528652.43529842.43528487",1
614,43528698,43529963,6,1,"43528652.43528385.43529963",1
615,43528698,43529963,6,1,"43528652.43529842.43529963",1
616,43528698,43529635,6,1,"43528652.43528385.43529635",1
617,43528698,43529635,6,1,"43528652.43529842.43529635",1
618,43528698,43528510,6,1,"43528652.43528385.43528510",1
619,43528698,43528510,6,1,"43528652.43529842.43528510",1
620,43528698,43528559,6,1,"43528652.43528385.43528559",1
621,43528698,43528559,6,1,"43528652.43529842.43528559",1
622,43528698,43528629,6,1,"43528652.43528385.43528629",1
623,43528698,43528629,6,1,"43528652.43529842.43528629",1
624,43528698,43528675,6,1,"43528652.43528385.43528675",1
625,43528698,43528675,6,1,"43528652.43529842.43528675",1
626,43528698,43529153,6,1,"43528652.43528385.43529153",1
627,43528698,43529153,6,1,"43528652.43529842.43529153",1
628,43528698,43529763,6,1,"43528652.43528385.43529763",1
629,43528698,43529763,6,1,"43528652.43529842.43529763",1
630,43528698,43528489,6,1,"43528652.43528385.43528489",1
631,43528698,43528489,6,1,"43528652.43529842.43528489",1
632,43528698,43529218,6,1,"43528652.43528385.43529218",1
633,43528698,43529218,6,1,"43528652.43529842.43529218",1
634,43528698,43528486,6,1,"43528652.43528385.43528486",1
635,43528698,43528486,6,1,"43528652.43529842.43528486",1
636,43528698,43529961,6,1,"43528652.43528385.43529961",1
637,43528698,43529961,6,1,"43528652.43529842.43529961",1
638,43528698,43529640,6,1,"43528652.43528385.43529640",1
639,43528698,43529640,6,1,"43528652.43529842.43529640",1
640,43528698,43528513,6,1,"43528652.43528385.43528513",1
641,43528698,43528513,6,1,"43528652.43529842.43528513",1
642,43528698,43528561,6,1,"43528652.43528385.43528561",1
643,43528698,43528561,6,1,"43528652.43529842.43528561",1
644,43528698,702788,6,1,"43528652.43528385.702788",1
645,43528698,702788,6,1,"43528652.43529842.702788",1
646,43528698,702783,6,1,"43528652.43528385.702783",1
647,43528698,702783,6,1,"43528652.43529842.702783",1
648,43528698,43529156,6,1,"43528652.43528385.43529156",1
649,43528698,43529156,6,1,"43528652.43529842.43529156",1
650,43528698,43529765,6,1,"43528652.43528385.43529765",1
651,43528698,43529765,6,1,"43528652.43529842.43529765",1
652,43528698,43529270,6,1,"43528652.43528385.43529270",1
653,43528698,43529270,6,1,"43528652.43529842.43529270",1
654,43528698,43529215,6,1,"43528652.43528385.43529215",1
655,43528698,43529215,6,1,"43528652.43529842.43529215",1
656,43528698,43529813,6,1,"43528652.43528385.43529813",1
657,43528698,43529813,6,1,"43528652.43529842.43529813",1
658,43528698,43529964,6,1,"43528652.43528385.43529964",1
659,43528698,43529964,6,1,"43528652.43529842.43529964",1
660,43528698,43529643,6,1,"43528652.43528385.43529643",1
661,43528698,43529643,6,1,"43528652.43529842.43529643",1
662,43528698,43528509,6,1,"43528652.43528385.43528509",1
663,43528698,43528509,6,1,"43528652.43529842.43528509",1
664,43528698,43528558,6,1,"43528652.43528385.43528558",1
665,43528698,43528558,6,1,"43528652.43529842.43528558",1
666,43528698,43528628,6,1,"43528652.43528385.43528628",1
667,43528698,43528628,6,1,"43528652.43529842.43528628",1
668,43528698,43528674,6,1,"43528652.43528385.43528674",1
669,43528698,43528674,6,1,"43528652.43529842.43528674",1
670,43528698,43529152,6,1,"43528652.43528385.43529152",1
671,43528698,43529152,6,1,"43528652.43529842.43529152",1
672,43528698,43529762,6,1,"43528652.43528385.43529762",1
673,43528698,43529762,6,1,"43528652.43529842.43529762",1
674,43528698,43529268,6,1,"43528652.43528385.43529268",1
675,43528698,43529268,6,1,"43528652.43529842.43529268",1
676,43528698,43529213,6,1,"43528652.43528385.43529213",1
677,43528698,43529213,6,1,"43528652.43529842.43529213",1
678,43528698,43529811,6,1,"43528652.43528385.43529811",1
679,43528698,43529811,6,1,"43528652.43529842.43529811",1
680,43528698,43529960,6,1,"43528652.43528385.43529960",1
681,43528698,43529960,6,1,"43528652.43529842.43529960",1
682,43528698,43529632,6,1,"43528652.43528385.43529632",1
683,43528698,43529632,6,1,"43528652.43529842.43529632",1
684,43528698,43528514,6,1,"43528652.43528385.43528514",1
685,43528698,43528514,6,1,"43528652.43529842.43528514",1
686,43528698,43528562,6,1,"43528652.43528385.43528562",1
687,43528698,43528562,6,1,"43528652.43529842.43528562",1
688,43528698,43528633,6,1,"43528652.43528385.43528633",1
689,43528698,43528633,6,1,"43528652.43529842.43528633",1
690,43528698,43528677,6,1,"43528652.43528385.43528677",1
691,43528698,43528677,6,1,"43528652.43529842.43528677",1
692,43528698,43529157,6,1,"43528652.43528385.43529157",1
693,43528698,43529157,6,1,"43528652.43529842.43529157",1
694,43528698,43529766,6,1,"43528652.43528385.43529766",1
695,43528698,43529766,6,1,"43528652.43529842.43529766",1
696,43528698,43529271,6,1,"43528652.43528385.43529271",1
697,43528698,43529271,6,1,"43528652.43529842.43529271",1
698,43528698,43529216,6,1,"43528652.43528385.43529216",1
699,43528698,43529216,6,1,"43528652.43529842.43529216",1
700,43528698,43529814,6,1,"43528652.43528385.43529814",1
701,43528698,43529814,6,1,"43528652.43529842.43529814",1
702,43528698,43529965,6,1,"43528652.43528385.43529965",1
703,43528698,43529965,6,1,"43528652.43529842.43529965",1
704,43528698,43529637,6,1,"43528652.43528385.43529637",1
705,43528698,43529637,6,1,"43528652.43529842.43529637",1
706,43528698,43528511,6,1,"43528652.43528385.43528511",1
707,43528698,43528511,6,1,"43528652.43529842.43528511",1
708,43528698,43528560,6,1,"43528652.43528385.43528560",1
709,43528698,43528560,6,1,"43528652.43529842.43528560",1
710,43528698,43528630,6,1,"43528652.43528385.43528630",1
711,43528698,43528630,6,1,"43528652.43529842.43528630",1
712,43528698,43528676,6,1,"43528652.43528385.43528676",1
713,43528698,43528676,6,1,"43528652.43529842.43528676",1
714,43528698,43529154,6,1,"43528652.43528385.43529154",1
715,43528698,43529154,6,1,"43528652.43529842.43529154",1
716,43528698,43529764,6,1,"43528652.43528385.43529764",1
717,43528698,43529764,6,1,"43528652.43529842.43529764",1
718,43528698,43529269,6,1,"43528652.43528385.43529269",1
719,43528698,43529269,6,1,"43528652.43529842.43529269",1
720,43528698,43529214,6,1,"43528652.43528385.43529214",1
721,43528698,43529214,6,1,"43528652.43529842.43529214",1
722,43528698,43529812,6,1,"43528652.43528385.43529812",1
723,43528698,43529812,6,1,"43528652.43529842.43529812",1
724,43528698,43529962,6,1,"43528652.43528385.43529962",1
725,43528698,43529962,6,1,"43528652.43529842.43529962",1
726,43528698,43529634,6,1,"43528652.43528385.43529634",1
727,43528698,43529634,6,1,"43528652.43529842.43529634",1
