"unit_concept_id","unit_source_value"
45756938,"ml/l"
45756939,"molar"
45756940,"obsolete-mM"
45756941,"mmol/ml"
45756942,"unit"
45756943,"baguette"
45756944,"carton"
45756945,"cartridge"
45756946,"cycle"
45756947,"cylinder"
45756948,"dose"
45756949,"lancet"
45756950,"loaf"
45756951,"multipack"
45756952,"nebule"
45756953,"needle"
45756954,"pack"
45756955,"pastille"
45756956,"pessary"
45756957,"pre-filled disposable injection"
45756958,"device"
45756959,"roll"
45756960,"sachet"
45756961,"stocking"
45756962,"strip"
45756963,"syringe"
45756964,"unit dose"
45756965,"catheter"
45756966,"dressing"
45756967,"suture"
45756968,"truss"
45756969,"plaster"
45756970,"applicator"
45756971,"pot"
45756972,"pizza base"
45756973,"piece"
45756974,"glove"
45756975,"pillule"
45756976,"actuation"
45756977,"spoonful"
45756978,"enema"
45756979,"mg/square cm"
45756980,"container"
45756981,"microlitre/g"
45756982,"larva"
45756983,"kBq/ml"
45756984,"generator"
45756985,"system"
45756986,"bandage"
45756987,"straw"
45756988,"%v/v"
45756989,"%w/v"
45756990,"g/ml"
45756991,"iu/g"
45756992,"iu/mg"
45756993,"kg/l"
45756994,"mega u"
45756995,"mg/16 hours"
45756996,"mg/72 hours"
45756997,"mg/g"
45756998,"mg/kg"
45756999,"mg/mg"
45757000,"microgram/72 hours"
45757001,"ml/kg"
45757002,"ml/ml"
45757003,"unit/gram"
45757004,"unit/mg"
45757005,"ampoule"
45757006,"capsule"
45757007,"enema"
45757008,"lozenge"
45757009,"patch"
45757010,"suppository"
45757011,"tablet"
45757012,"tube"
45757013,"vial"
45757014,"microgram/actuation"
45757015,"mg/actuation"
45757016,"swab"
45757017,"bag"
45757018,"bottle"
45757019,"disc"
45757020,"blister"
45757021,"bar"
45757022,"dual dose sachet"
45757023,"g/actuation"
45757024,"unit/actuation"
45757025,"micrograms/square cm"
45757026,"kit"
45757027,"component"
45757028,"micromol/ml"
45757029,"microlitre/ml"
45757030,"nanolitre/ml"
45757031,"unit/square cm"
45757032,"can"
45757033,"ml/gram"
45757034,"GBq"
45757035,"GBq/ml"
45757036,"MBq/ml"
45757037,"mol/l"
45757038,"cup"
45757506,"Applicator - unit of product usage"
45757509,"Applicatorful - unit of product usage"
45757510,"Squirt - unit of product usage"
45757512,"Strip - unit of product usage"
45757513,"Package - unit of product usage"
45757514,"Stick - unit of product usage"
45757515,"Wafer - unit of product usage"
45757516,"mGy"
45757548,"Milligram of phenytoin sodium equivalents"
45757552,"Log copies/mL"
45757634,"Kilodyne per square centimeter"
45757636,"APL unit"
45757637,"Pump - unit of product usage"
45763928,"Vaginal suppository - unit of product usage"
45763929,"Pastille - unit of product usage"
45763930,"Prefilled syringe - unit of product usage"
45763931,"Tampon - unit of product usage"
45763932,"Dressing - unit of product usage"
45763933,"Sublingual tablet - unit of product usage"
45763934,"Rectal capsule - unit of product usage"
45763935,"Rectal tablet - unit of product usage"
45763936,"Vaginal tablet - unit of product usage"
45763937,"Vaginal capsule - unit of product usage"
45770930,"Bethesda units/milliliter"
45890995,"Million unit per liter"
45890996,"gram per dose"
45890997,"milligram per dose"
45890998,"microgram per dose"
45890999,"unit per dose"
45891000,"application"
45891001,"gram per application"
45891002,"milligram per application"
45891003,"tuberculin unit per milliliter"
45891004,"month supply"
45891005,"week supply"
45891006,"unit per drop"
45891007,"Megabecquerel"
45891008,"kilobecquerel"
45891009,"weight percent volume"
45891010,"volume percent volume"
45891011,"weight percent weight"
45891012,"volume percent weight"
45891013,"milliliter per liter"
45891014,"millimole per milliliter"
45891015,"microgram per actuation"
45891016,"milligram per actuation"
45891017,"unit per actuation"
45891018,"gram per actuation"
45891019,"international unit per milligram"
45891020,"Duplicate of UCUM Concept, do not use, use replacement from CONCEPT_RELATIONSHIP table instead"
45891021,"milligram per 16 hours"
45891022,"milligram per 72 hours"
45891023,"microgram per 72 hours"
45891024,"Kallikrein inactivator unit"
45891025,"nanoliter per milliliter"
45891026,"Kallikrein inactivator unit per milliliter"
45891027,"microgram per square centimeter"
45891028,"Gigabecquerel per milliliter"
45891029,"microliter per milliliter"
45891030,"unit per milligram"
45891031,"Gigabecquerel"
45891032,"Megabecquerel per milliliter"
45891033,"milliliter per milliliter"
45891034,"unit per square centimeter"
45891035,"milliliter per gram"
45891036,"milligram per square centimeter"
45891037,"microliter per gram"
45891038,"kilobecquerel per milliliter"
45956701,"gram per cubical centimeter"
46270335,"Lymphs/uL"
46270336,"Thousand unit"
46270346,"Ten unit"
46270463,"times/morning"
46273486,"White blood cells per high power field"
46274038,"Red blood cells per high power field"
8961,"10*3/mm3"
8961,"1000/mm3"
9667,"umol"
8503,"{DILS}"
8503,"DILS"
8503,"dils"
8503,"{dils}"
9218,"% binding inhib"
8528,"years"
8606,"ration"
4124422,"g"
4211671,"cpy/mL"
4186260,"mcg/mg"
8712,"{ery}/uL"
8712,"Ery/uL"
8713,"G/Dl"
8713,"g/dL"
8713,"gdl"
8713,"gms/dl"
8713,"G/DL"
8713,"GMDL"
8713,"g/dl"
8713,"gm/dl"
8718,"[iU]"
8718,"internationalunit"
8718,"international_unit"
8718,"iu"
8718,"IU"
9225,"%A1C"
8540,"BU"
8540,"bu"
4124425,"pounds"
4124425,"lbs"
4124425,"lb"
4122378,"cm"
9483,"cm2"
4122379,"mm"
4124427,"pmol/8x10*8{RBC}"
4124427,"pmol/L"
9484,"degrees"
45756942,"units"
45756942,"U"
45756942,"Units"
45756942,"UNITS"
4303374,"10E3MCL"
4303374,"x10(3)/mcL"
4303374,"1000/mcL"
4303374,"THO/MCL"
4303374,"thou/mcl"
4303374,"thous/mcl"
4303374,"x10'3/mcL"
4303374,"x103/mcL"
4303374,"10(3)/mcL"
4303374,"10^3/mcL"
4303374,"x10^3/mcl"
8719,"mIU/mL"
8719,"mU/mL"
8720,"ug/g"
8720,"mcg/g"
8720,"mcg/gm"
9234,"%{vol}"
8723,"mg/g alb"
8723,"mg/g"
8723,"mg/gm"
4121364,"pg"
4121364,"PG"
8725,"ng/L"
4122390,"min"
4124438,"% of total Hgb"
4120599,"s"
8729,"pmol/L"
8985,"IU/mL"
8985,"IU/ml"
8985,"[iU]/mL"
4122393,"C"
4122393,"DegC"
4117786,"m[IU]/mL"
4117786,"m[IU]/L"
4117786,"MIUML"
4117786,"mIU/mL"
4117786,"mU/mL"
4121370,"weeks"
4121370,"wk"
9243,"/100"
4124444,"mg/mL"
8989,"mcg/mL FEU"
4124445,"ug/mL"
8478,"AI"
8478,"ai"
8478,"{ai}"
8481,"EV"
8481,"ev"
8481,"{ev}"
8489,"LIV"
8489,"liv"
8489,"{LIV}"
8489,"{liv}"
8734,"10*12/L"
8734,"10E12/L"
8734,"x10^12/L"
8990,"ug/mL FEU"
9246,"pgm"
9502,"G"
9502,"g"
8479,"cP"
8991,"mOsm/kg H2O"
9503,"g%"
4186399,"nmol/mmol{creat}"
4124447,"nmol/L"
4302078,"nmol_BCE"
4302078,"nM_BCE"
4302078,"nmol BCE"
8480,"[EU]"
8736,"mmol/L"
8736,"NMOL/L"
8736,"nmol/l"
8736,"nmol/L"
4303648,"Log IU/mL"
4303648,"log10_IU/mL"
4303648,"logIU/mL"
4303648,"log_IU/mL"
4303381,"mcg/ml_FEU"
8737,"%{of'HGB}"
8737,"%Hb"
8737,"%Hgb"
8737,"%_HGB"
4118305,"U/mL"
4118305,"U/ML"
8482,"pH"
8629,"u/g"
8629,"U/g"
8738,"% inhibit"
4118306,"kU/L"
8483,"counts per minute"
8739,"ounces"
8739,"lb"
8739,"[lb_us]"
4117795,"cP"
4124451,"ug/24 hr"
4124453,"mmol/(24.h)"
4124453,"mmol/24 h"
8998,"CAE Units"
8998,"CAE"
4121382,"[arb'U]/mL"
4121382,"[arb'U]"
8488,"{ISR}"
8488,"ISR"
4121384,"FL"
4121384,"fL"
4121384,"fl"
4122410,"mL"
8748,"ug/L"
8748,"mcg/L"
8748,"ug/l"
8749,"umol/l"
8749,"UMOL/L"
8749,"mcmol/L"
8749,"uMol/L"
8749,"umol/L"
8494,"MoM"
4246830,"mg/g{creat}"
9557,"MEQL"
4118318,"k[IU]/L"
4122414,"mg/L"
4122414,"MGL"
8751,"mg/l"
8751,"mg/L"
8751,"mg/L"
4246831,"mg/mg{creat}"
4118319,"mIU/L"
4122415,"ug/L"
4122415,"ug/L{DDU}"
8752,"mm/h"
8752,"MMHR"
8752,"mm/hr"
8753,"mmol/l"
8753,"mmo/L"
8753,"mmoI/L"
8753,"mmol/LL"
8753,"mMOL/L"
8753,"mMoL/L"
8753,"mmol/L"
8753,"mMol/L"
8758,"[{of'tot'HGB}]"
8758,"{of'tot'HGB}"
8758,"of'tot'HGB"
8758,"%_of_total_Hgb"
4122417,"ng/dL"
8876,"mm Hg"
8876,"mmHg"
8876,"MM HG"
8876,"mm[Hg]"
4121395,"gm/dL"
4121395,"GM/DL"
4121395,"g/dL (calc)"
4121395,"g/dL"
4121395,"gm/dl"
4121395,"G/DL"
8500,"SAU"
8840,"mg/dl"
8840,"MGDL"
8840,"mg/dL (calc)"
8840,"MG/d/L"
8840,"MG/DL"
8840,"mg/dL"
8840,"MG/dL"
8501,"SGU"
4118325,"/[HPF]"
4118325,"/HPF"
4118325,"/hpf"
4121397,"mcg/dl"
4121397,"ug/dL"
4121397,"mcg/dL (calc)"
4121397,"mcg/dL"
8502,"SMU"
9014,"mcg/mg creat"
9014,"mcg/mg creatinine"
4190519,"kg/m*m"
8504,"grams"
8504,"G_units"
8504,"g"
8504,"gm"
8505,"h"
8505,"H"
8505,"hr(s)"
8505,"hr"
9017,"mg/g creat"
9017,"mg/gCR"
9017,"mg/g_Cre"
9017,"mg/g_creat"
9017,"mg/g_crt"
9529,"kg"
9529,"KG"
9018,"mmol/g creat"
4117818,"mcg/g creat"
8753,"mmol/l"
8753,"mmol/L"
8753,"MMOLL"
8753,"MMOL/L"
8763,"U/mL"
8763,"[U]/mL"
8763,"u/ml"
9531,"kg/m2"
9020,"ng/mL/h"
9020,"ng/mL/hr"
9020,"NGMLHR"
4118332,"ft"
8765,"/[LPF]"
8765,"/LPF"
8765,"/lpf"
8510,"[U]"
8511,"week"
8511,"wks"
8518,"H"
8518,"h"
8774,"ug/min"
8774,"mcg/min"
8774,"mcg/mins"
8773,"m/uL"
8773,"M/uL"
8519,"L"
9032,"/100 WBC"
9032,"/100.{WBC}"
9032,"%WBC"
4189512,"ng/mL/h"
4189512,"ng/mL{FEU}"
4189512,"ng/mL"
9289,"F"
9289,"[degF]"
9289,"Fahrenheit"
9289,"degrees"
8523,"RATIO"
8523,"Ratio"
8523,"ratio"
8523,"{ratio}"
8779,"s/co ratio"
8779,"s/coratio"
8779,"s/co_ratio"
8525,"TITER"
8525,"Titer"
8525,"titer"
9550,"mIU/mL"
9550,"mlU/ml"
9550,"10*-3.[iU]/mL"
4117839,"[IU]/mL"
4117839,"IU/ML"
4117839,"IU/mL"
4117839,"InU/mL"
4117839,"IUML"
8784,"wbc/ul"
8784,"{Cells}/uL"
8784,"{cells}/uL"
8784,"cells/ul"
8784,"Cells/mcL"
4117840,"uIU/mL"
4117840,"u[IU]/mL"
8529,"Index"
8529,"index"
8785,"/MM3"
8786,"/HPF"
8786,"/hpf"
8786,"/[HPF]"
44777555,"% (calc)"
44777555,"%_(calc)"
44777555,"% baseline"
44777531,"m3"
4305036,"mcg/spec"
4305035,"mOsm/Kg_H2O"
4304553,"mcmol/gm_Cr"
4136788,"TORR"
8533,"in"
8533,"inch"
8533,"inches"
9557,"mEQ/L"
9557,"10*-3.eq/L"
9557,"mEq/L"
8791,"g/5hr"
4304727,"APL U/mL"
8792,"K/mcl"
8792,"K/uL*10^3"
9561,"mg/{vol}"
9562,"mg/kg"
8795,"ML/MIN"
8795,"mL/min"
8541,"per minute"
8541,"/min"
8541,"inches"
9565,"mg/mg"
44777565,"Lyme Index Value"
8542,"APS IgA"
8542,"APS_IgA"
8542,"[APS'U]c"
44777566,"Score"
8543,"A"
8799,"Copies/mL"
8799,"copies/ml"
8799,"copy/ml"
8799,"copy/mL"
8799,"copies/mL"
8799,"cop/mL"
44777568,"[U]/dL"
8545,"GPS IgG"
8545,"GPS_IgG"
8545,"[{GPS'IgG}]"
8545,"GPS'IgG"
4212321,"nmol/mL"
9570,"mL/dL"
8548,"MPS IgM"
8548,"MPS_IgM"
8548,"[{MPS'IgM}]"
9573,"mmol"
8550,"MIN"
8549,"10*6"
8549,10E6
8549,"million"
8549,"X10(6)"
8549,"x10-6"
8549,"x10E6"
8549,"X10^6"
8550,"Minutes"
8550,"min"
8550,"Min"
9062,"mL/min/1.73"
8807,"g/(24.h)"
8807,"g/24hr"
8807,"g/24 h"
8807,"g/24_h"
8807,"g/day"
8807,"gm/24hr"
8807,"gm/day"
8554,"percent"
8554,"PERCENT"
8554,"%"
8554,"X10E+09/L"
8810,"10*3.[U]/L"
8810,"kU/L"
44777578,"mU/ml"
44777578,"mIU/L"
8555,"seconds"
8555,"S"
8555,"SEC"
8555,"SECS"
8555,"Seconds"
8555,"s"
8555,"sec"
8556,"EIA Units"
8556,"EIA_Units"
8566,"10*3"
8566,"#10^3"
8566,"10^3"
8566,"THOUS"
8566,"thousands"
8566,"X10(3)"
8566,"X10-3"
8566,"x1000"
8566,1000
8566,"x10E3"
8566,10E3
8566,x10^3
4118124,bpm
4118124,beats/min
4118125,cm/sec
44777582,mEq/24hr
44783470,mcg/mL FEU
4118126,mm/h
8815,million/ul
8815,10*6/uL
8815,M/mcl
8815,10X6/uL
8815,x10E6/uL
8815,Million/uL
8815,10-6/ul
8815,10/6/ul
8815,106/ul
8815,10e6/UL
8815,10X6ul
8815,10^6/ul
8815,10^6micl
8815,miL/uL
8815,mill/mcl
8815,x10*6/UL
8815,x106/ul
8815,x10^6/UL
8815,x10^E6/uL
8560,JDF units
8816,Million/uL
8816,mil/mL
8816,million/mL
8816,x10e6/ml
45757552,Log copies/mL
45757552,log_copies/mL
45757552,Log cps/mL
45757552,{Log_copies}/mL
45757552,{copies}/mL
8818,ng/mg
8817,NG/DL
8817,ng/dL
8817,ng/dl
9330,[in_us]
8492,log
8487,GPS
8506,u3
9330,Inches
9330,inches
9586,umol/L
9586,nmol/L
8564,pg
8564,PG
8820,pg/dL
44783988,{Ehrlich'U}/dL
4118133,IU/L
4118133,[IU]/L
4304247,x10(6)/mcL
4304247,10(6)/mcL
4304247,mil/mcL
4304247,mill/mcL
4304247,x10'6/mcL
4304247,x10^6/mc/L
4304247,x10^6/mcL
4304247,10E6MCL
8569,pH units
8569,pHunits
8569,[{pH'U}]
8569,pH'U
8569,{pH'U}
9593,ms
8573,EIA Value
8573,EIA_value
8573,[{EIA'value}]
8573,{EIA'value}
8573,EIA'value
8589,OD_ratio
8589,odratio
8589,[OD'ratio]
8589,OD'ratio
8590,[OD'U]
8590,od
8590,O.D
8590,O.D.
8590,O.D._Unit
8590,OD
8576,mg
8577,nM
8577,nm
4118145,mL
4119681,COUNTED
8837,ug/dl
8837,mcg/dL
8837,ug/dL
8837,MCGDL
8837,ug/d
9093,mcIU/ml
9093,10*-6.[iU]/mL
9093,mcInU/mL
9093,mcIU/mL
9093,uIU/ML
44777605,Log (cells/mL)
8582,cms
8582,cm
8838,ug/mg
44777606,m/s
4122502,mg/(24.h)
4122502,mcg/24 h
4122502,mg/24 hr
4122502,mg/24 h
4122502,mcg/24H
8583,fL
8583,FL
8583,fl
8839,umol/dL
8840,mg/dl
8840,MG/DL
8840,mg_dl
8840,mg/dL
9096,log10 IU/mL
4120713,% normal
8842,ng/mL
8842,ng/ml
8842,NG/ML
4117642,cells/ul
4117642,cells/uL
8587,ML
8587,mL
9099,[APL'U]
4118155,mL/min/{1.73_m2}
4118155,mL/min
8588,mm
9100,[GPL'U]
9100,GPL
9612,nmol/mmol
8845,pg/mL
8845,pg/ml
8845,PG/ML
9101,[MPL'U]
9101,MPL
4117647,GPL U/mL
4118159,mosm/kg
4118159,MOSM/KG
4118159,mOsm/kg
8848,10X3/uL
8848,K/uL
8848,x10E3/uL
8848,10*3/uL
8848,Thousand/uL
8848,thous/ul
8848,10'3/uL
8848,10*3/u/L
8848,10-3/ul
8848,10/3/uL
8848,1000/uL
8848,103/microliter
8848,103/u
8848,103/u/L
8848,103/uL
8848,10e3/ul
8848,10E3uL
8848,10^3/mcl
8848,10^3/microL
8848,10^3/UL
8848,10^3U/L
8848,10^3uL
8848,K/uL10^3
8848,THOU/u
8848,THOU/uL
8848,THS/uL
8848,x10'3/microL
8848,x10(3)/uL
8848,x10*3/ul
8848,x1000/ul
8848,x103/uL
8848,x103E/uL
8848,x103u/L
8848,x10E3/ull
8848,x10E3uL
8848,x10x3uL
8848,x10^3/microl
8848,X10^3/microll
8848,x10^3/uL
8848,x10^3UL
8848,x10^E3/uL
8848,xe3/ul
8848,x^103/microL
4120722,g/L
4288403,mm3
4120723,ng/L
8596,(calc)
8596,calc
8596,CALCULATED
4120724,ng/mL
4120724,NG/ML
4120724,ng/ml
4120725,pg/mL
4120725,pg/ml
4120725,PG/ML
4120726,umol/L
8600,[ELU]
8600,EU
4120728,g/(24.h)
4120728,g/24 h
8859,ug/ml
8859,mcg/mL
8859,ug/mL
8859,ucg/mL
9628,PL
8861,mg/mL
9117,mL/min/1.73 m2
9117,mL/min/1.73m2
9117,mL/min/1.73.m2
9117,mL/min/1.73
9373,ounces
8606,ratio units
8862,mOsm/kg
8862,mos/kg
8862,mosm/kg
8862,mOsm/Kg
8862,mosm/k
45756922,units/mL
45756922,Units/mL
8608,RIV
8608,IV
8608,[{index'value}]
8608,index'value
8608,{index'value}
8608,index_value
8608,indexvalue
8608,INDEX_VALUE
9632,pmol/ml
9632,pmol/mL
8609,GPI IgA units
8609,SAU
8610,GPI IgG units
8610,SGU
4118178,mg/ g creatinine
8611,SMU
8611,GPI IgM units
44777635,nmol/min/mL
8554,%
44777638,pg/uL
9639,s
8617,m2
8617,sq.m
8617,sq.m.
8617,sq._M.
8617,sq._M
8617,sq_m
8617,sqm
45744811,AU/ml
45744812,Cells Counted
45744812,Cells
8876,millimeter mercury column
8876,mmHg
8876,mmHG
8876,mm Hg
8876,mm hg
8876,mm[Hg]
9388,PRU
8624,meg/L
9648,U
9648,units
4121525,ug/(24.h)
8632,% Total
8632,%Total
8891,M/MM3
8636,U/L
8636,g/L
8636,gm/L
8637,negative
8637,[neg'count]
8637,neg'count
8637,neg_count
44777663,mg/L FEU
9665,ul
9665,/uL
9156,APL
45757636,[APL'U]
8645,u/l
8645,U/L
8645,UNITL
8645,Units/L
8645,[U]/L
9158,MPL U/mL
8655,F/L
8655,f/l
8673,high
8647,/ul
8686,mm3
8686,mm^3
8686,/CUMM
8695,[EU]/mL
8695,EU/mL
8647,/UL
8647,/uL
8903,K/MM3
8906,ug/day
8906,mg/day
8907,umol/day
8909,mg/24hr
8910,mmol/24hr
4117967,mL/24 h
9426,EU/dl
8916,U/gHGB
9428,rbc/ul
4117972,/[LPF]
4171221,GPL
8664,AU
8923,[iU]/L
8923,IU/L
8931,10*6/mm3
9444,10*9/L
9444,x_10E9/L
4171236,/mcl
4117989,kg/m2
9448,yr
8504,gms
8752,mm/hr(s)
4212719,E.U./dL
4244975,/MM3
8653,Degree_C
4118000,U/L
8950,g/dL (calc)
8698,L/min
8698,L/MIN
9211,minute(s)
8700,mg/24h
8700,MG/24_HR
8703,[ppb]
8703,ppb
8700,mg/day
8700,mg/d
9212,second(s)
9213,/100WBC
8526,total_#
8526,{tot}
8526,total
44777622,mPa.s
44777590,cm[H2O]
44777590,CM/H2O
44777590,cm_h20
44777588,10*9.{cellls}/L
44777588,10x9cells/L
44777586,"/100,000_cells"
44777586,"10*6.{cells}/L"
44777563,"[FiU]"
44777563,"fiu"
44777563,"FIU"
8545,"10^6"
8545,"GPS_IgG"
8590,"O.D."
8617,"sq.m."
8617,"sq._M."
8645,"UL/L"
8647,"10/UL"
8655,"f/l"
8673,"high"
8686,"/CUMM"
8686,"mm^3"
8695,"EU/mL"
8700,"mg/24h"
8700,"MG/24_HR"
8703,"ppb"
8712,"Ery/uL"
8713,"gdl"
8713,"gms/dl"
8718,"international"
8718,"IU"
8719,"Mil/MM"
8734,"10E12/L"
8734,"x10^12/L"
8737,"%Hgb"
8737,"%_HGB"
8751,"mg/L_"
8751,"mmgl/L"
8753,"mmo/L"
8753,"mmoI/L"
8753,"mmol/LL"
8758,"%_of_total_Hgb"
8773,"M/uL"
8774,"mcg/mins"
8779,"s/coratio"
8779,"s/co_ratio"
8784,"cells/uL"
8799,"cop/mL"
8807,"g/24_h"
8807,"g/day"
8807,"gm/24hr"
8807,"gm/day"
8816,"mil/mL"
8816,"million/mL"
8816,"x10e6/ml"
8818,"ng/mg"
8837,"ug/dL"
8839,"umol/d"
8840,"mg_dl"
8845,"pcg/ml"
8859,"ucg/mL"
8859,"g/ml"
8862,"mosm/k"
8865,"munit/mL"
8873,"logcpy/mL"
8876,"mm_hg"
8881,"nmol_BCE/L"
8891,"M/cmm"
8891,"m/mmx3"
8903,"K/cmm"
8903,"k/cmm3"
8903,"K/cmm^3"
8903,"k/cumm"
8903,"K/MM"
8903,"k/mm-3"
8903,"k/mm^3"
8906,"ug/24h"
8906,"ug/24_hr"
8910,"mmol/24h"
8923,"iu/L"
8930,"mil/min"
8931,"10-6/mm3"
8931,"106/mm3"
8931,"10^6/CMM"
8931,"10^6/mm3"
8931,"10^6/mm^3"
8931,"10^6cmm"
8931,"MIL/MM"
8931,"mil/mm3"
8931,"mill/cumm"
8931,"mill/mm3"
8931,"x1000000/mm^3"
8931,"X106/mm"
8931,"x10^6/mm3"
8931,"x10^6mm3"
8950,"G/DL_(CALC)"
8961,"/cmm"
8961,"10*3/mm"
8961,"1000/cumm"
8961,"103/mmm"
8961,"103/mm3"
8961,"10^3/CMM"
8961,"10^3/mmm"
8961,"10^3/mm3"
8961,"10^3/mm^3"
8961,"10^3mm^3"
8961,"K/CMM"
8961,"th/cmm"
8961,"TH/CUMM"
8961,"Th/mm3"
8961,"thou/cmm"
8961,"thou/cumm"
8961,"thou/mm"
8961,"thou/mm3"
8961,"thous/mm3"
8961,"x1000/mm3"
8961,"x1000/mm^3"
8961,"X10^3/mm3"
8961,"x10^3/mm3"
8961,"x10^3/mm^3"
8985,"IntUnits/mL"
8990,"ug/mLFEU"
8991,"mosm/KgH2O"
8991,"mosm/Kg_H2"
8991,"mosm/Kg_H2O"
8993,"nmol/hr/mg"
9014,"ug/g_cre"
9014,"ug/g_Creat"
9017,"mg/gCR"
9017,"mg/g_Cre"
9017,"mg/g_creat"
9017,"mg/g_crt"
9019,"mmol/mol_Cr"
9028,"mg/dL_(calc)"
9031,"U/10E12_RBC"
9040,"MILLIINTERNATIO"
9074,"mg/gm_Cr"
9083,"Units/mLRBC"
9084,"log10/IU/ml"
9084,"log10iu/ml"
9084,"Log_IU/mL"
9096,"log10IU/mL"
9113,"ng/mL_RBC"
9114,"nM_BCE/mM_Cr"
9114,"nM_BCE/mM_creat"
9117,"mil/min/1.73"
9117,"mL/min_X_1.73m2"
9148,"pmol/8x10(8)RBC"
9157,"GPL_U/mL"
9213,"/100_WBC"
9226,"%_hemolysis"
9424,"CH50_Units"
9436,"10^3/ml"
9436,"TH/ML"
9436,"tho/mcl"
9436,"thou/mL"
9436,"thou/moL"
9436,"x10*3/ml"
9436,"x103/ml"
9436,"X10e3/ml"
9436,"x10^3/mL"
9444,"10E9/L"
9444,"bil/L"
9444,"x10^9/L"
9445,"mil/ml"
9484,"deg"
9497,"fm"
9575,"mmol/d"
9577,"mmol/Kg"
9591,"mosm/L"
9606,"nl"
9609,"nmol/g"
9609,"nmol/gm"
9610,"nmol/g_CRT"
9611,"nmol/mg_prot/h"
9661,"U/gHb"
9665,"U_L"
9666,"uM"
9667,"umol"
9670,"umol/m"
9675,"umol/mol_CRT"
4041838,"hrs"
4117638,"mEq/24_hr"
4117642,"CEL/UL"
4117659,"uU/ml"
4117660,"mU/L"
4117825,"pg/cell"
4117839,"IUI/mL"
4117970,"unit/L"
4117974,"L/week"
4118169,"U/g_Hb"
4118305,"unit/mL"
4120712,"OD_units"
4121526,"mmol/day"
4122502,"mg/24_h"
4124432,"CPM"
4124445,"M/ml"
4124449,"g/24_hr"
4141208,"IU/DL"
4167884,"unit/gm_Hb"
4168357,"MPS"
4170408,"mL/MIN/SSA"
4170419,"mg/mmol_Cr"
4170749,"gm/gm"
4186259,"mcg/24hr"
4186259,"mcg/24_h"
4186259,"mcg/day"
4186260,"mcg/mg_creat"
4189497,"mU/g"
4212214,"mcmol/mol"
4213116,"g/kg/day"
4218803,"Vial(s)"
4218803,"vials"
4288404,"u/m3"
4288404,"uM3"
4288404,"um^-3"
4303381,"mcg/ml_FEU"
4303648,"log10_IU/mL"
4303648,"logIU/mL"
4303648,"log_IU/mL"
4303654,"1000/mcL"
4303654,"THO/MCL"
4303654,"thou/mcl"
4303654,"thous/mcl"
4303654,"x10'3/mcL"
4303654,"x103/mcL"
4304247,"10(6)/mcL"
4304247,"mil/mcL"
4304247,"mill/mcL"
4304247,"x10'6/mcL"
4304247,"x10^6/mc/L"
4304247,"x10^6/mcL"
4305035,"mOsm/Kg_H2O"
4305036,"mcg/spec"
44777531,"m3"
44777555,"%_(calc)"
44777563,"FIU"
44777588,"10x9cells/L"
